X	fragments	sample
21x68	36349	Bladder111
12x17	32846	Bladder111
9x35	32595	Bladder111
64x13	60099	Bladder111
30x37	27722	Bladder111
16x72	27798	Bladder111
45x47	34623	Bladder111
8x57	16860	Bladder111
24x70	18450	Bladder111
7x70	19372	Bladder111
41x10	39597	Bladder111
37x18	94998	Bladder111
29x18	35272	Bladder111
4x12	45176	Bladder111
35x38	26049	Bladder111
21x2	21161	Bladder111
55x25	59541	Bladder111
24x6	18230	Bladder111
40x14	81843	Bladder111
31x21	39804	Bladder111
33x27	26292	Bladder111
15x5	15440	Bladder111
5x20	58114	Bladder111
14x57	12538	Bladder111
9x64	13437	Bladder111
38x66	42683	Bladder111
51x21	44859	Bladder111
1x15	105214	Bladder111
39x1	131821	Bladder111
54x27	38268	Bladder111
66x16	84950	Bladder111
37x58	50541	Bladder111
34x53	13765	Bladder111
16x35	34072	Bladder111
50x18	45941	Bladder111
44x57	16881	Bladder111
50x22	39274	Bladder111
66x57	15889	Bladder111
18x23	7998	Bladder111
42x3	50757	Bladder111
16x70	13046	Bladder111
57x4	31967	Bladder111
47x50	39943	Bladder111
20x46	37030	Bladder111
20x14	41678	Bladder111
31x7	14542	Bladder111
17x44	32602	Bladder111
58x9	55082	Bladder111
20x7	19028	Bladder111
13x55	21331	Bladder111
56x37	27445	Bladder111
54x43	32570	Bladder111
24x26	42321	Bladder111
3x31	65520	Bladder111
32x46	30419	Bladder111
37x29	78201	Bladder111
17x70	22673	Bladder111
25x48	71407	Bladder111
51x53	19047	Bladder111
28x42	33791	Bladder111
51x60	21960	Bladder111
28x29	35333	Bladder111
5x40	79859	Bladder111
40x42	73578	Bladder111
50x49	15849	Bladder111
26x22	52427	Bladder111
36x57	7615	Bladder111
53x29	55192	Bladder111
37x16	89806	Bladder111
24x44	34048	Bladder111
22x34	23584	Bladder111
44x53	25995	Bladder111
2x8	30463	Bladder111
67x23	88365	Bladder111
52x6	13777	Bladder111
34x2	26755	Bladder111
47x61	11705	Bladder111
40x57	29059	Bladder111
38x33	83241	Bladder111
35x58	16808	Bladder111
6x59	16838	Bladder111
39x42	79968	Bladder111
30x26	38267	Bladder111
61x39	44407	Bladder111
25x64	10129	Bladder111
46x58	26052	Bladder111
45x56	14906	Bladder111
52x62	9397	Bladder111
14x4	21519	Bladder111
44x55	16862	Bladder111
47x53	24836	Bladder111
39x16	79110	Bladder111
6x71	21752	Bladder111
44x26	44580	Bladder111
58x68	50794	Bladder111
11x61	6540	Bladder111
32x61	10491	Bladder111
58x2	66373	Bladder111
40x15	77840	Bladder111
8x68	26652	Bladder111
68x64	17412	Bladder111
43x47	45224	Bladder111
51x14	55787	Bladder111
67x38	33297	Bladder111
60x66	24290	Bladder111
65x53	19578	Bladder111
48x4	19883	Bladder111
14x28	33533	Bladder111
18x7	6064	Bladder111
10x34	23674	Bladder111
56x5	26704	Bladder111
53x53	18972	Bladder111
25x33	29060	Bladder111
52x48	49494	Bladder111
4x10	43646	Bladder111
29x7	17447	Bladder111
